,start_exp_2.keys,start_exp_2.rt,start_exp_3.keys,start_exp_3.rt,intel_resp.keys,intel_resp.rt,textbox_word.text,key_resp.keys,key_resp.rt,valence_resp.keys,valence_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,file,eng_name,heb_name,category,rms,intelligibility,syllables,category_key,frequency,log_freq,google_freq,log_google_freq,participant,age,gender,correct_guess
42,,NA,,NA,7,1.1937,"<U+05E7><U+05D5><U+05E4><U+05D9><U+05E3>
",return,1.5914,5,4.9259,0,41,41,76,1,kofif.ogg,kofif,<U+05E7><U+05D5><U+05E4><U+05D9><U+05E3>,Animal,0.058681544,NA,2,a,26,1.414973348,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
43,,NA,,NA,7,1.2215,"<U+05D9><U+05D2><U+05D5><U+05D0><U+05E8>
",return,1.2435,4,1.038,0,42,42,171,1,yaguar.ogg,yaguar,<U+05D9><U+05D2><U+05D5><U+05D0><U+05E8>,Animal,0.099110015,NA,3,a,279,2.445604203,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
44,,NA,,NA,7,1.1825,"<U+05DE><U+05D9><U+05DB><U+05DC>
",return,1.2596,4,0.4209,0,43,43,101,1,meykhal.ogg,meykhal,<U+05DE><U+05D9><U+05DB><U+05DC>,Object,0.106401555,NA,2,l,4043,3.606703741,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
45,,NA,,NA,5,2.1005,"<U+05DE><U+05D7><U+05E7>
",return,0.871,4,0.508,0,44,44,85,1,makhak.ogg,makhak,<U+05DE><U+05D7><U+05E7>,Object,0.09056624,NA,2,l,1987,3.298197867,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
46,,NA,,NA,7,1.058,"<U+05D7><U+05D9><U+05DC><U+05D6><U+05D5><U+05DF>
",return,1.3485,4,0.4265,0,45,45,64,1,khilazon.ogg,khilazon,<U+05D7><U+05D9><U+05DC><U+05D6><U+05D5><U+05DF>,Animal,0.087583728,NA,3,a,229,2.359835482,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
47,,NA,,NA,7,1.2185,"<U+05E6><U+05DC><U+05D7><U+05EA>
",return,1.2095,4,0.4296,0,46,46,159,1,tzalakhat.ogg,tzalakhat,<U+05E6><U+05DC><U+05D7><U+05EA>,Object,0.123914987,NA,3,l,450,2.653212514,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
48,,NA,,NA,7,1.4325,"<U+05E4><U+05E0><U+05D3><U+05D4>
",return,1.1925,6,1.6211,0,47,47,117,1,panda.ogg,panda,<U+05E4><U+05E0><U+05D3><U+05D4>,Animal,0.136955202,NA,2,a,325,2.511883361,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
49,,NA,,NA,7,1.1855,"<U+05D6><U+05D1><U+05E8><U+05D4>
",return,1.2297,4,0.6444,0,48,48,176,1,zebra.ogg,zebra,<U+05D6><U+05D1><U+05E8><U+05D4>,Animal,0.169265404,NA,2,a,190,2.278753601,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
50,,NA,,NA,7,1.135,"<U+05DE><U+05D2><U+05D6><U+05D9><U+05DF>
",return,1.4305,4,0.4191,0,49,49,81,1,magazin.ogg,magazin,<U+05DE><U+05D2><U+05D6><U+05D9><U+05DF>,Object,0.125492305,NA,3,l,4437,3.647089429,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
51,,NA,,NA,7,1.1693,"<U+05DE><U+05E1><U+05DB><U+05D4>
",return,1.3914,3,0.7688,0,50,50,92,1,masekha.ogg,masekha,<U+05DE><U+05E1><U+05DB><U+05D4>,Object,0.096281089,NA,3,l,318,2.50242712,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
52,,NA,,NA,7,1.1211,"<U+05E1><U+05E8><U+05D8>
",return,0.9773,6,0.4358,0,51,51,131,1,seret.ogg,seret,<U+05E1><U+05E8><U+05D8>,Object,0.089209117,NA,2,l,21281,4.327992032,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
53,,NA,,NA,7,1.1538,"<U+05DE><U+05D6><U+05DC><U+05D2>
",return,0.7764,4,0.5703,0,52,52,95,1,mazleg.ogg,mazleg,<U+05DE><U+05D6><U+05DC><U+05D2>,Object,0.100036196,NA,2,l,133,2.123851641,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
54,,NA,,NA,7,1.468,"<U+05D1><U+05E8><U+05D5><U+05D5><U+05D6>
",return,1.3163,4,0.4196,0,53,53,18,1,barvaz.ogg,barvaz,<U+05D1><U+05E8><U+05D5><U+05D5><U+05D6>,Animal,0.108059518,NA,2,a,716,2.854913022,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
55,,NA,,NA,6,1.4868,"<U+05DE><U+05E7><U+05E7>
",return,1.3942,3,2.0682,0,54,54,84,1,makak.ogg,makak,<U+05DE><U+05E7><U+05E7>,Animal,0.090016395,NA,2,a,33,1.51851394,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
56,,NA,,NA,7,1.1228,"<U+05DE><U+05E8><U+05D0><U+05D4>
",return,1.3564,4,0.3845,0,55,55,89,1,mara.ogg,mara,<U+05DE><U+05E8><U+05D0><U+05D4>,Object,0.125482678,NA,2,l,10153,4.006594386,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
57,,NA,,NA,7,1.283,"<U+05D1><U+05E0><U+05D9><U+05D9><U+05DF>
",return,1.0286,4,0.4326,0,56,56,19,1,binyan.ogg,binyan,<U+05D1><U+05E0><U+05D9><U+05D9><U+05DF>,Object,0.117052279,NA,2,l,9236,3.965483924,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
58,,NA,,NA,7,0.8714,"<U+05DE><U+05D6><U+05E8><U+05DF>
",return,1.1603,4,0.4932,0,57,57,108,1,mizran.ogg,mizran,<U+05DE><U+05D6><U+05E8><U+05DF>,Object,0.087724812,NA,2,l,108,2.033423755,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
59,,NA,,NA,7,0.9265,"<U+05DE><U+05D3><U+05D5><U+05D6><U+05D4>
",return,1.3814,3,0.4506,0,58,58,97,1,meduza.ogg,meduza,<U+05DE><U+05D3><U+05D5><U+05D6><U+05D4>,Animal,0.115551554,NA,3,a,315,2.498310554,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
60,,NA,,NA,7,2.999,"<U+05D1><U+05D1><U+05D5><U+05DF>
",return,1.4104,4,0.4178,0,59,59,14,1,baboon.ogg,baboon,<U+05D1><U+05D1><U+05D5><U+05DF>,Animal,0.106068902,NA,2,a,416,2.619093331,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
61,,NA,,NA,6,1.3699,"<U+05E2><U+05DE><U+05D5><U+05D3>
",return,0.8218,4,0.6853,0,60,60,7,1,amud.ogg,amud,<U+05E2><U+05DE><U+05D5><U+05D3>,Object,0.063451871,NA,2,l,6218,3.793650718,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
62,,NA,,NA,7,1.1335,"<U+05DE><U+05D9><U+05D8><U+05D4>
",return,1.1051,4,0.387,0,61,61,105,1,mita.ogg,mita,<U+05DE><U+05D9><U+05D8><U+05D4>,Object,0.103846908,NA,2,l,497,2.696356389,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
63,,NA,,NA,7,1.12,"<U+05E0><U+05D7><U+05E9>
",return,0.8555,3,0.47,0,62,62,110,1,nakhash.ogg,nakhash,<U+05E0><U+05D7><U+05E9>,Animal,0.088418685,NA,2,a,1825,3.261262869,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
64,,NA,,NA,6,1.9656,"<U+05E4><U+05E8><U+05E2><U+05D5><U+05E9>
",return,1.0224,3,1.1941,0,63,63,118,1,parosh.ogg,parosh,<U+05E4><U+05E8><U+05E2><U+05D5><U+05E9>,Animal,0.103216074,NA,2,a,40,1.602059991,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
65,,NA,,NA,6,2.2402,"<U+05DE><U+05E9><U+05E7><U+05D5><U+05E3>
",return,1.3443,4,1.6802,0,64,64,93,1,mashkof.ogg,mashkof,<U+05DE><U+05E9><U+05E7><U+05D5><U+05E3>,Object,0.09702573,NA,2,l,149,2.173186268,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
66,,NA,,NA,7,0.9654,"<U+05D1><U+05DC><U+05D5><U+05DF>
",return,0.9066,5,0.4412,0,65,65,16,1,balon.ogg,balon,<U+05D1><U+05DC><U+05D5><U+05DF>,Object,0.111855216,NA,2,l,443,2.646403726,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
67,,NA,,NA,7,0.9817,"<U+05E9><U+05D8><U+05D9><U+05D7>
",return,0.9795,4,0.3903,0,66,66,137,1,shatiakh.ogg,shatiakh,<U+05E9><U+05D8><U+05D9><U+05D7>,Object,0.113188751,NA,2,l,291,2.463892989,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
68,,NA,,NA,7,1.2379,"<U+05D9><U+05EA><U+05D5><U+05E9>
",return,1.0423,3,0.3892,0,67,67,174,1,yatush.ogg,yatush,<U+05D9><U+05EA><U+05D5><U+05E9>,Animal,0.086324573,NA,2,a,184,2.264817823,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
69,,NA,,NA,7,2.2187,"<U+05D9><U+05E0><U+05E9><U+05D5><U+05E3>
",return,1.5113,4,0.3237,0,68,68,173,1,yanshuf.ogg,yanshuf,<U+05D9><U+05E0><U+05E9><U+05D5><U+05E3>,Animal,0.114506856,NA,2,a,368,2.565847819,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
70,,NA,,NA,7,0.8729,"<U+05DB><U+05E4><U+05EA><U+05D5><U+05E8>
",return,0.994,4,0.3851,0,69,69,42,1,kaftor.ogg,kaftor,<U+05DB><U+05E4><U+05EA><U+05D5><U+05E8>,Object,0.060227305,NA,2,l,1513,3.179838928,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
71,,NA,,NA,7,1.3662,"<U+05E7><U+05DC><U+05E1><U+05E8>
",return,0.9587,4,0.4241,0,70,70,73,1,klaser.ogg,klaser,<U+05E7><U+05DC><U+05E1><U+05E8>,Object,0.118595682,NA,2,l,23,1.361727836,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
72,,NA,,NA,7,2.2185,"<U+05E2><U+05DB><U+05D1><U+05E8>
",return,0.9816,3,0.3885,0,71,71,2,1,akhbar.ogg,akhbar,<U+05E2><U+05DB><U+05D1><U+05E8>,Animal,0.105947159,NA,2,a,800,2.903089987,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
73,,NA,,NA,7,0.9172,"<U+05E1><U+05D5><U+05DC><U+05DD>
",return,1.1331,4,0.3182,0,72,72,147,1,sulam.ogg,sulam,<U+05E1><U+05D5><U+05DC><U+05DD>,Object,0.109472513,NA,2,l,1593,3.202215776,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
74,,NA,,NA,7,1.0716,"<U+05E9><U+05DE><U+05E4><U+05D5>
",return,0.8443,5,0.4385,0,73,73,135,1,shampo.ogg,shampo,<U+05E9><U+05DE><U+05E4><U+05D5>,Object,0.100922048,NA,2,l,90,1.954242509,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
