id,age,baselines,rqcorrect,rq,demand_intensity,demand_liking,stim,ValenceContrast,NeutralContrast,target,targetdummy,controldummy,reaction,intensity,liking,dist
10,30,2,0,3,-1,0,3,0,0.666666667,-0.5,0,1,0,0,0,0
10,30,2,0,3,-1,0,4,0,0.666666667,-0.5,0,1,0,0,0,1
10,30,2,0,3,-1,0,5,0,0.666666667,0.5,1,0,0,0,0,0
10,30,2,0,3,-1,0,6,0,0.666666667,-0.5,0,1,0,0,0,0
10,30,2,0,3,-1,0,7,0,0.666666667,-0.5,0,1,0,0,0,1
10,30,2,0,3,-1,0,8,0,0.666666667,-0.5,0,1,0,0,0,0
10,30,2,0,3,-1,0,9,0,0.666666667,-0.5,0,1,0,0,0,1
10,30,2,0,3,-1,0,10,0,0.666666667,-0.5,0,1,0,0,0,0
10,30,2,0,3,-1,0,11,0.5,-0.333333333,-0.5,0,1,1,0,8,8
10,30,2,0,3,-1,0,12,0.5,-0.333333333,-0.5,0,1,2,1,1,7
10,30,2,0,3,-1,0,13,0.5,-0.333333333,-0.5,0,1,1,0,3,5
10,30,2,0,3,-1,0,14,0.5,-0.333333333,-0.5,0,1,1,1,3,6
10,30,2,0,3,-1,0,15,0.5,-0.333333333,-0.5,0,1,0,0,2,5
10,30,2,0,3,-1,0,16,0.5,-0.333333333,-0.5,0,1,1,1,1,5
10,30,2,0,3,-1,0,17,0.5,-0.333333333,-0.5,0,1,1,1,1,4
10,30,2,0,3,-1,0,18,0.5,-0.333333333,-0.5,0,1,1,0,8,7
10,30,2,0,3,-1,0,19,0.5,-0.333333333,0.5,1,0,1,0,2,1
10,30,2,0,3,-1,0,20,0.5,-0.333333333,-0.5,0,1,1,1,7,7
10,30,2,0,3,-1,0,21,-0.5,-0.333333333,-0.5,0,1,3,3,2,3
10,30,2,0,3,-1,0,22,-0.5,-0.333333333,-0.5,0,1,3,5,1,3
10,30,2,0,3,-1,0,23,-0.5,-0.333333333,-0.5,0,1,4,6,1,6
10,30,2,0,3,-1,0,24,-0.5,-0.333333333,-0.5,0,1,5,7,1,7
10,30,2,0,3,-1,0,25,-0.5,-0.333333333,0.5,1,0,2,3,4,7
10,30,2,0,3,-1,0,26,-0.5,-0.333333333,-0.5,0,1,4,2,1,5
10,30,2,0,3,-1,0,27,-0.5,-0.333333333,-0.5,0,1,1,1,1,2
10,30,2,0,3,-1,0,28,-0.5,-0.333333333,-0.5,0,1,6,7,1,6
10,30,2,0,3,-1,0,29,-0.5,-0.333333333,-0.5,0,1,1,2,2,2
10,30,2,0,3,-1,0,30,-0.5,-0.333333333,-0.5,0,1,2,4,1,1
11,29,2,1,7,2,0,1,0,0.666666667,-0.5,0,1,2,0,4,0
11,29,2,1,7,2,0,2,0,0.666666667,-0.5,0,1,2,0,0,0
11,29,2,1,7,2,0,3,0,0.666666667,-0.5,0,1,2,0,2,0
11,29,2,1,7,2,0,4,0,0.666666667,-0.5,0,1,2,0,1,0
11,29,2,1,7,2,0,5,0,0.666666667,-0.5,0,1,2,0,2,0
11,29,2,1,7,2,0,6,0,0.666666667,-0.5,0,1,2,0,2,0
11,29,2,1,7,2,0,7,0,0.666666667,-0.5,0,1,2,0,2,0
11,29,2,1,7,2,0,8,0,0.666666667,-0.5,0,1,2,0,0,0
11,29,2,1,7,2,0,9,0,0.666666667,-0.5,0,1,2,0,2,0
11,29,2,1,7,2,0,10,0,0.666666667,0.5,1,0,5,0,2,9
11,29,2,1,7,2,0,11,0.5,-0.333333333,-0.5,0,1,4,5,5,2
11,29,2,1,7,2,0,12,0.5,-0.333333333,-0.5,0,1,5,7,6,3
11,29,2,1,7,2,0,13,0.5,-0.333333333,-0.5,0,1,2,3,1,0
