trial_type,trial_index,time_elapsed,rt,stimulus,stimulus_block,stimulus_side,key_press,second_stimulus,two_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,screen_size,block,sub_block,tags1,tags2
bRMS,104,1766493,711.8,images/f42887_e_080 copy.png,B-E,1,75,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,105,1767840,879.9,images/f42887_e_161 copy.png,B-E,1,68,images/f42887_e_167 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,106,1768798,489.9,images/f42887_e_200 copy.png,B-E,1,68,images/f42887_e_169 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,107,1770141,877,images/f42887_e_295 copy.png,B-E,1,68,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,108,1771262,656.4,images/f42887_e_191 copy.png,B-E,1,75,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,109,1772414,687.1,images/f42887_e_004 copy.png,B-E,0,75,images/f42887_e_040 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,110,1773631,742.9,images/f42887_e_016 copy.png,B-E,1,75,images/f42887_e_044 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,111,1774796,703.8,images/f42887_e_180 copy.png,B-E,0,68,images/f42887_e_085 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,112,1776253,992.9,images/f42887_e_166 copy.png,B-E,1,75,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,113,1777565,849.1,images/f42887_e_289 copy.png,B-E,0,75,images/f42887_e_145 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,114,1778844,812.7,images/f42887_e_120 copy.png,B-E,0,68,images/f42887_e_215 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,115,1779839,524.8,images/f42887_e_231 copy.png,B-E,1,68,images/f42887_e_000 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,116,1781278,980.3,images/f42887_e_065 copy.png,B-E,1,68,images/f42887_e_290 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,117,1783021,1273.6,images/f42887_e_056 copy.png,B-E,0,75,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,118,1784655,1177.6,images/f42887_e_287 copy.png,B-E,1,68,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,119,1787310,2182.9,images/f42887_e_005 copy.png,A-E,1,68,images/f42887_e_167 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,120,1788830,1059.4,images/f42887_e_121 copy.png,A-E,1,68,images/f42887_e_000 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,121,1789980,689.8,images/f42887_e_252 copy.png,A-E,1,68,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,122,1791420,970.1,images/f42887_e_058 copy.png,A-E,1,68,images/f42887_e_169 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,123,1793005,1116.9,images/f42887_e_252 copy.png,A-E,1,68,images/f42887_e_085 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,124,1795822,2353.2,images/f42887_e_156 copy.png,A-E,0,68,images/f42887_e_213 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,125,1797117,829.8,images/f42887_e_121 copy.png,A-E,0,68,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,126,1799056,1454.1,images/f42887_e_298 copy.png,A-E,0,68,images/f42887_e_044 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,127,1800624,1106.3,images/f42887_e_064 copy.png,A-E,0,68,images/f42887_e_215 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,128,1802894,1796.8,images/f42887_e_064 copy.png,A-E,0,75,images/f42887_e_145 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,129,1805407,2047,images/f42887_e_156 copy.png,A-E,0,75,images/f42887_e_290 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,130,1807439,1567.2,images/f42887_e_025 copy.png,A-E,0,75,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,131,1808990,1083.2,images/f42887_e_058 copy.png,A-E,1,68,images/f42887_e_040 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,132,1810672,1222.2,images/f42887_e_127 copy.png,A-E,1,75,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,133,1812463,1321.7,images/f42887_e_025 copy.png,A-E,0,68,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,134,1813695,767.4,images/f42887_e_127 copy.png,A-E,0,75,images/f42887_e_099 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,135,1814895,722.5,images/f42887_e_298 copy.png,A-E,1,75,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['E']
bRMS,136,1816205,847.5,images/f42887_e_156 copy.png,A-D,0,68,images/f42887_e_178 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['D']
bRMS,137,1817342,675.9,images/f42887_e_064 copy.png,A-D,0,75,images/f42887_e_293 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['D']
