Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
3,-1458.333389,1489.1,660.019379,-1458.333389,1,Left,Right,yes,no,D-E
3,-1298.90558,1268.9,965.363235,-2264.268815,0,Right,Right,yes,no,D-E
3,-1348.1788,1618.1,1075.784583,-2423.963383,0,Right,Left,no,no,D-E
3,-1363.062003,1556.5,1060.90138,-1363.062003,1,Left,Right,yes,no,D-E
3,-1345.997317,2381.4,931.517183,-2277.5145,0,Right,Left,yes,no,D-E
3,-1375.049368,1421.1,629.828939,-1375.049368,1,Left,Right,yes,no,D-E
3,-1439.377932,1491.3,886.037387,-1439.377932,1,Right,Left,yes,no,D-E
3,-1263.727426,910.5,1061.687893,-1263.727426,1,Left,Right,yes,no,D-E
3,-1279.863624,1033.2,694.955342,-1974.818966,0,Right,Left,yes,no,D-E
3,-1304.66982,1443.2,1554.946079,-1304.66982,1,Left,Right,yes,no,D-E
3,-1304.826154,1289.8,1249.794781,-1304.826154,1,Right,Right,yes,no,D-E
3,-1441.218231,2448.9,1002.746975,-1441.218231,1,Right,Right,no,no,D-E
3,-1414.546,1886,1005.612283,-2420.158283,0,Right,Left,no,no,D-E
3,-1302.764941,2107.6,678.425794,-1302.764941,1,Left,Left,yes,no,D-E
3,-1329.363587,1442.5,894.022843,-2223.38643,0,Left,Right,no,no,D-E
3,-1399.208513,2499.3,1020.94977,-1399.208513,1,Right,Right,yes,no,D-E
3,1129.688426,3647.6,3104.507392,-1974.818966,0,Right,Right,no,no,A-E
3,1255.024952,2893.8,3678.988335,1255.024952,1,Right,Right,no,no,A-E
3,1166.521266,873.1999999,3586.679549,-2420.158283,0,Right,Left,no,no,A-E
3,1572.12696,2259,3836.395775,-2264.268815,0,Left,Right,yes,no,A-E
3,1560.242807,1553.5,4004.208013,-2443.965206,0,Right,Left,yes,no,A-E
3,1255.024952,2637.4,4114.640851,-2859.615899,0,Left,Right,yes,no,A-E
3,1572.12696,2767.4,3897.542279,-2325.415319,0,Right,Right,yes,no,A-E
3,2002.718236,1084.3,4226.104666,2002.718236,1,Right,Left,no,no,A-E
3,1941.175699,1614.1,3946.054006,1941.175699,1,Left,Right,yes,no,A-E
3,1453.011627,1637.4,3728.145803,1453.011627,1,Right,Left,yes,no,A-E
3,1453.011627,890.4,3730.526127,-2277.5145,0,Left,Left,yes,no,A-E
3,2002.718236,1758.5,4422.876519,-2420.158283,0,Left,Left,no,no,A-E
3,1129.688426,1770.3,3248.041194,-2118.352768,0,Left,Right,no,no,A-E
3,1924.715546,1279.6,4348.678929,1924.715546,1,Right,Left,yes,no,A-E
3,1560.242807,1494.3,3885.658126,-2325.415319,0,Left,Left,yes,no,A-E
3,1166.521266,4778.2,3147.712001,-1981.190735,0,Left,Left,no,no,A-E
3,1941.175699,1856,4495.796634,-2554.620935,0,Left,Right,no,no,A-E
3,1572.12696,1117.4,3992.285243,1572.12696,1,Left,Left,yes,no,A-E
3,1166.521266,998.7,3590.484649,1166.521266,1,Left,Left,no,no,A-E
3,1924.715546,1508.7,4344.873829,-2420.158283,0,Left,Left,no,no,A-E
3,1255.024952,2873.9,3236.215687,-1981.190735,0,Left,Left,no,no,A-E
3,1129.688426,1939.8,3104.507392,1129.688426,1,Left,Right,no,no,A-E
3,1255.024952,1630,3678.988335,-2423.963383,0,Right,Right,yes,no,A-E
3,1941.175699,1663.8,4266.591018,-2325.415319,0,Right,Left,no,no,A-E
3,1453.011627,1414.8,4312.627526,1453.011627,1,Left,Right,yes,no,A-E
3,2002.718236,2400.5,4007.596543,2002.718236,1,Right,Left,yes,no,A-E
3,1453.011627,2278.1,3896.976833,-2443.965206,0,Left,Left,yes,no,A-E
3,1129.688426,3228.7,3404.822602,1129.688426,1,Left,Right,no,no,A-E
3,1572.12696,1533.6,3795.51339,1572.12696,1,Right,Left,yes,no,A-E
3,1560.242807,4499.3,3824.511622,-2264.268815,0,Left,Right,yes,no,A-E
3,2002.718236,3014.9,4328.133555,2002.718236,1,Right,Right,yes,no,A-E
3,1560.242807,3590.5,4114.863742,1560.242807,1,Right,Right,no,no,A-E
3,1166.521266,2307.7,3444.035766,1166.521266,1,Right,Right,no,no,A-E
3,1941.175699,2840.5,4059.528467,-2118.352768,0,Right,Right,no,no,A-E
4,1255.024952,1818.4,335.9612121,919.0637399,0,Right,Left,yes,yes,A-B
4,1924.715546,893.5999999,935.0794233,1924.715546,1,Left,Left,yes,no,A-B
4,1166.521266,1063.2,912.3415897,254.1796763,0,Left,Right,no,no,A-B
4,1572.12696,934.9000001,1384.212297,1572.12696,1,Right,Left,yes,no,A-B
4,1941.175699,842.9000001,1725.756777,1941.175699,1,Left,Right,yes,no,A-B
4,2002.718236,805.1999998,1740.475344,262.242892,0,Right,Left,yes,no,A-B
4,1941.175699,710.4000001,924.799416,1016.376283,0,Left,Left,yes,no,A-B
4,1453.011627,1017,519.3059175,1453.011627,1,Left,Left,no,no,A-B
4,1572.12696,587.0999999,649.2591555,922.8678045,0,Left,Left,no,no,A-B
4,2002.718236,773.2999997,1755.396393,2002.718236,1,Left,Left,no,no,A-B
4,1255.024952,779,319.6358932,1255.024952,1,Left,Right,no,no,A-B
4,1560.242807,701.5,1347.922333,212.320474,0,Right,Right,yes,no,A-B
4,1166.521266,714.7999997,169.7814971,996.7397689,0,Right,Left,no,no,A-B
4,1453.011627,726.5,1242.686799,1453.011627,1,Left,Left,yes,no,A-B
4,1560.242807,952.5,1331.633002,1560.242807,1,Left,Right,no,no,A-B
4,1129.688426,848.1999998,104.624784,1129.688426,1,Right,Left,yes,no,A-B
4,1129.688426,591.2999997,912.7008429,1129.688426,1,Left,Left,yes,no,A-B
4,-1374.846792,683.0999999,902.667708,-1374.846792,1,Left,Right,no,no,D-E
4,-1414.546,694.5999999,1029.419206,-2443.965206,0,Right,Left,yes,no,D-E
4,-1304.66982,1691.8,1115.488463,-2420.158283,0,Left,Right,yes,no,D-E
4,-1329.363587,622.9000001,1530.252312,-1329.363587,1,Right,Left,yes,no,D-E
4,-1279.863624,759,1144.099759,-2423.963383,0,Left,Right,yes,no,D-E
4,-1304.826154,602,1115.332129,-1304.826154,1,Right,Left,yes,no,D-E
4,-1298.90558,965.8000002,924.48085,-2223.38643,0,Left,Right,yes,no,D-E
4,-1348.1788,1189,633.011935,-1348.1788,1,Right,Left,yes,no,D-E
4,-1441.218231,1207.4,533.600735,-1974.818966,0,Left,Left,yes,no,D-E
4,-1302.764941,1068.7,972.3692354,-2275.134176,0,Left,Left,no,no,D-E
4,-1375.049368,1020.8,1048.914015,-1375.049368,1,Left,Right,no,no,D-E
4,-1399.208513,991.6999998,865.060302,-2264.268815,0,Right,Right,yes,no,D-E
4,-1439.377932,909.1000004,565.500375,-1439.377932,1,Right,Left,no,no,D-E
4,-1458.333389,961,1096.287546,-1458.333389,1,Left,Left,yes,no,D-E
